Gene	HN_1	HN_2	HN_3	HN_4	HN_5	HN_6	DCIS_1	DCIS_2	DCIS_3	DCIS_4	DCIS_5	DCIS_6
"1345"	9.10941269903516	9.37345385865175	10.9881811422003	9.16143495849772	11.0320156609778	11.2312933905751	12.6750994689025	11.2312707962835	12.5479145119685	8.97963888151799	13.470266481663	12.1560522058193
"4720"	9.91237593727612	9.15136060807541	10.1715225916097	9.64635396963822	10.5360899319841	10.4052650068404	11.069107716049	9.3572098498101	10.6400569623364	11.61622504503	10.3724583865832	10.48406842055
"4710"	9.1256054419684	8.33893650449761	10.2915576208909	8.99748731890888	10.4320460408119	10.2178019321647	10.3245041618497	8.58592050077078	10.2420570380625	9.41153908902192	10.937623209728	10.8555408121906
"51382"	8.49152909201821	8.91884966954602	10.1609094131009	8.50373985936968	10.0072008832289	10.1324939734184	9.42819631317105	9.42475521835929	10.5024458167303	8.79925897618206	10.3894299522532	10.6125082747307
"4709"	9.59620159920071	9.65482185817149	10.2242960853206	9.09024751662651	10.1667144759043	10.3045869016007	10.4708084259096	10.1163121740709	10.4615969942751	10.2105784223717	10.3817923433406	10.2572446071706
"51606"	8.87124153940624	8.65892612774595	8.43198052120357	7.78641409847112	8.6343378705138	8.43225246246949	9.24367866180611	9.65131477443564	8.73572511909768	7.76419332817287	9.23372694768825	9.04097365813461
"533"	9.11415643303071	8.47831769130704	8.77129782713889	8.96354119680034	8.89238785394138	8.80722380984832	9.62727098472661	9.32470572906267	9.0972012507875	9.32512708018551	9.05213395962243	9.24698424333164
"9377"	7.90285290550441	9.47481521943969	8.38125759739209	7.56095693441011	9.11423273664235	8.48268655792959	8.54364724136849	10.126051417753	8.28681246834826	7.73049841742582	9.56605284649232	9.1000594796007
"4711"	7.73601578231886	9.25727401928249	8.89686345741206	7.47749886331308	9.69364960072267	9.47399323333405	8.89977653510794	9.42523802649592	8.67285490955054	7.86751858704765	10.3529527692689	9.66461453434972
"4698"	7.55935490244741	8.04423110193535	8.72166499419908	7.55158927224761	8.82081134272547	8.76351644334961	8.97551186470184	7.88309767015604	8.19973068205483	6.83205223480365	9.17133481278542	8.81207531851267
"498"	10.3602549658616	11.7747680868328	11.4158988203531	9.9112015863266	12.2994525551996	12.2278940208762	11.5544377571636	11.4187864717498	10.7726337230602	9.14549999834332	12.318892952285	12.3135949845219
"1346"	8.72622755937021	8.40329192330228	7.59156544776477	8.17469027566424	7.47221141059017	7.34451606422808	7.7592097126373	7.13743247913695	7.42022322369371	7.3410211442106	6.61680613703799	7.05481549447022
