Gene	HN_1	HN_3	HN_5	DCIS_1	DCIS_3	DCIS_5	HN_2	HN_4	HN_6	DCIS_2	DCIS_4	DCIS_6
"2335"	7.27466200187891	6.98542231250632	7.39741331655861	10.3619059212754	6.79809659160078	9.10299243769319	6.96277067683138	6.86325501841837	7.12517984501035	10.1166850617731	8.00478425821726	7.36693778909605
"1311"	6.72512240810094	6.40601213921646	6.33295900449577	8.95723938656528	6.34085656252072	6.51735821110963	6.6889358251747	6.70818970352038	6.86242119183106	7.28646114339761	8.63977258325256	6.80769681788365
"1278"	8.8730536924673	9.40749239368071	9.03570746634402	11.1329315648233	8.0176819184407	10.131139837481	9.1112080549997	8.22140264327962	9.14137647102595	10.2436494057932	9.75198076110071	8.44707480022517
"7057"	6.82345813946416	7.20499692260933	7.28435540339067	8.06307164582404	7.83743575263852	8.73397474240975	7.02529363446574	6.96032467530337	7.47568260754721	7.27407584773633	7.15836228280052	7.57106393875484
"7058"	8.21687565297199	8.70514960041584	7.65701603494454	9.68923884548138	7.977282372324	8.46083654156641	7.80819058577585	7.44108181539211	7.85856182979909	8.77182743047875	8.93602335608632	7.51905277883621
"6696"	7.38068870755235	6.72484232964712	7.58988810348676	9.78321985321181	7.21002679030159	8.77686849553856	7.29939593113025	7.51974489268929	7.67748532659135	7.57974664611035	7.00386699487391	7.45255796733332
"1277"	7.2036769283659	7.77159765762368	7.53307713717238	9.19550871120942	7.29964187809122	8.3525704179074	7.711129626801	7.16239268464467	7.56950927461805	8.70765889310644	7.60423155982139	7.13435615757044
"8503"	6.75066729919735	7.45812841431061	8.33455936176742	7.3428090163275	7.23539497141199	9.80231940989247	7.6874323625168	7.1866287784607	8.18706808832786	7.82305316156883	7.86457992261673	8.80344888060141
"5062"	6.99205346624591	8.07267475395595	8.70130978570038	7.40663965771954	8.28966886432726	9.25144894075138	7.86719237811488	7.03566362422226	8.50328115422033	8.2284019606556	7.77338170056969	9.19149500725968
"1301"	6.89709489906755	6.82602535641575	6.85837285581521	8.60541278391965	6.64160295690233	6.7215491365923	7.24286508268693	7.6095138883868	6.88439736305677	8.26708499491447	8.30839791695564	6.7002760139377
"2064"	7.91949550248577	7.2408547343751	7.12661607037192	7.65125112438173	7.36773073207616	7.21848082428636	7.44865204679713	8.49837830661996	7.11309943873716	7.24135329645806	11.2535487472611	7.33589192145515
"387"	9.24771667594696	10.0437820785138	10.9998161428156	10.5357655225116	10.6240349514008	11.3824896125882	10.3943739548326	8.78640550876498	10.9504788754808	10.5929900869427	8.46748109289326	11.1900167322615
"3371"	9.81591791143037	8.10554003639514	8.46558813202068	10.3428455576874	8.12459169025204	8.37580166564742	8.79767825311157	7.40197304271779	8.73173440755549	9.90640117443838	8.26976289158116	8.50003040579423
